Question,A,B,C,D
Tổng quan về Kubernetes trong tài liệu Public_192,"Kubernetes là một nền tảng nguồn mở, khả chuyển, có thể mở rộng để quản lý các ứng dụng được đóng gói và các service, giúp thuận lợi trong việc cấu hình và tự động hoá việc triển khai ứng dụng. Kubernetes là một hệ sinh thái lớn và phát triển nhanh chóng. Các dịch vụ, sự hỗ trợ và công cụ có sẵn rộng rãi.","Kubernetes là một nền tảng nguồn đóng, không thể mở rộng để quản lý các ứng dụng được đóng gói và các service, giúp thuận lợi trong việc cấu hình và tự động hoá việc triển khai ứng dụng. Kubernetes là một hệ sinh thái lớn và phát triển nhanh chóng. Các dịch vụ, sự hỗ trợ và công cụ có sẵn rộng rãi.","Kubernetes là một nền tảng nguồn độc, không được cài đặt","Kubernetes là một nền tảng nguồn mở, khả chuyển, có thể mở rộng để quản lý các ứng dụng mobile.Kubernetes là một hệ sinh thái lớn và phát triển nhanh chóng. Các dịch vụ, sự hỗ trợ và công cụ có sẵn rộng rãi."
"Qua toàn bộ phần trình bày trong tài liệu Public_167, có thể rút ra nhận định tổng quan nào về cách tiếp cận an toàn thông tin?",Chỉ dựa vào luật quốc tế và bỏ qua luật Việt Nam,"Bao gồm sự kết hợp của chuẩn quốc tế (ISO/IEC 27000, NIST), chu trình quản lý (PDCA), cùng khung pháp luật và chính sách ở Mỹ, Châu Âu và Việt Nam ", Chỉ cần chính sách nội bộ trong tổ chức,Chỉ chú trọng đến khía cạnh kỹ thuật
"Khi công ty có một nhóm QA/Tester với background là ít kỹ năng lập trình, theo bạn thì lựa chọn công cụ nào phù hợp nhất để phù hợp với đội nhóm cho việc kiểm thử tự động?","Công cụ kiểm thử tự động, từ miễn phí (Open Source, Freeware). Chẳng hạn Opensource có thể kể đến như: Selenium IDE, Selenium WebDriver, Appium, Cucumber, hay có License như: Postman, Katalon, akaAT, …","Các công cụ như Visual Studio, IntelliJ IDEA, Eclipse, và Code Editor","Các công cụ có trả phí (License) thường cung cấp giao diện trực quan cùng các tiện ích và nhiều tính năng hỗ trợ tối đa cho người dùng có thể tạo ra kịch bản nhanh chóng, chỉ phải kéo thả, Record và config. ","Các công cụ như Jira, Trello, các công cụ quản lý kiểm thử như TestLink, Zephyr, TestRail"
"Chọn mô tả chính xác nhất về mối quan hệ chức năng giữa Dart, Framework và SDK theo nội dung văn bản:",Dart là một thư viện UI; Framework là ngôn ngữ; SDK chỉ chứa widget.,SDK thay thế Framework trong việc tạo UI; Dart chỉ dùng cho web.,"Dart là ngôn ngữ lập trình; Framework là thư viện giao diện (dựa trên widgets) xây dựng bằng Dart; SDK là bộ công cụ (trình biên dịch, thư viện, tiện ích) để phát triển và biên dịch sang mã gốc.",Framework và SDK chỉ là hai tên gọi khác nhau cho cùng một thành phần và không liên quan tới Dart.
"Theo tài liệu, phương pháp kết hợp bắt đầu bằng đánh giá rủi ro ở mức cao, sau đó chuyển sang đánh giá chi tiết. Nếu đánh giá ở mức cao ban đầu không chính xác, hậu quả nào có thể xảy ra?",Hệ thống vẫn an toàn vì sẽ có bước chi tiết sau,"Áp dụng các biện pháp kiểm soát không phù hợp, hệ thống có thể gặp rủi ro trong thời gian chờ đánh giá chi tiết","
Giảm chi phí vì bỏ qua các biện pháp kiểm soát không cần thiết",Không ảnh hưởng gì đến quá trình quản lý an toàn thông tin
"Theo tài liệu, những ưu điểm nổi bật nào của Jira được liệt kê?",Phân quyền chi tiết tới từng nhiệm vụ,Dễ tích hợp với các hệ thống khác,Hoàn toàn miễn phí với mọi quy mô,Tích hợp trực tiếp với code trong môi trường phát triển
"Olympic 2004 tại Hy Lạp dự kiến kinh phí 2 tỷ EURO, nhưng phải chi tới 12 tỷ EURO. Vậy chi phí thực tế đã vượt bao nhiêu phần trăm (%) so với kế hoạch ban đầu?",2,5,6,3
Mục tiêu chính của kiểm thử hiệu năng trong việc đánh giá khả năng đáp ứng và ổn định của hệ thống là gì?,"Nhằm đo lường khả năng của hệ thống trong việc phản hồi số lượng lớn yêu cầu trong điều kiện tải khác nhau, từ đó phát hiện các điểm nghẽn tiềm ẩn, đánh giá sự ổn định, khả năng mở rộng và tối ưu tài nguyên trước khi hệ thống được đưa vào sử dụng thực tế.","Để loại bỏ hoàn toàn nhu cầu kiểm thử chức năng, chỉ tập trung vào tốc độ.",Để minh họa giao diện trực quan hơn cho người dùng cuối.,Để giảm số lượng lập trình viên cần tham gia phát triển hệ thống.
"Trong hệ thống phân bổ giảng đường, nếu một giảng đường đang được lên lịch sử dụng cho lớp học chính khóa nhưng đồng thời có sự cố hỏng thiết bị, hệ thống sẽ xử lý thế nào và ai chịu trách nhiệm xử lý sự cố?","Hệ thống vẫn giữ lịch, sự cố do giảng viên báo và tự xử lý","Hệ thống khóa lịch tạm thời, sự cố do sinh viên báo và phòng đào tạo xử lý","Hệ thống giữ nguyên lịch học, sự cố được báo qua chức năng quản lý thiết bị và phòng đào tạo hoặc quản lý tài sản xử lý","Hệ thống hủy lịch đã phân bổ, sự cố chuyển sang quản lý sự kiện xử lý"
"Kiểm thử tự động là gì, các nguyên tắc cơ bản và lợi ích chính của nó?","Văn bản trình bày khái niệm kiểm thử tự động, các bước triển khai (xác định phạm vi, lập kế hoạch, chọn công cụ, viết kịch bản), lợi ích (tiết kiệm thời gian, giảm sai sót, tái sử dụng kịch bản) và ứng dụng. ","Văn bản nói đến định nghĩa kiểm thử tự động, không bao gồm các bước triển khai.","Văn bản nói đến định nghĩa kiểm thử tự động, không bao gồm lợi ích","Văn bản nói về khải niệm, các bước triển khai quy trình kiểm thử tự động"
"Trong quy trình khai báo mã KH COD hàng ngày, khi khách hàng chưa xác thực OTP, hệ thống xử lý yêu cầu ra sao và trạng thái thay đổi thế nào nếu sau 72 giờ vẫn chưa xác thực?","Hệ thống vẫn cho phép tạo kỳ thanh toán, trạng thái giữ nguyên “Chờ xác thực”","Hệ thống không tạo kỳ thanh toán, yêu cầu giữ trạng thái “Chờ xác thực”, sau 72 giờ tự động chuyển “Xác thực thất bại”","Hệ thống cho phép khách hàng nhập lại OTP sau 72 giờ, trạng thái vẫn “Chờ xác thực”",Hệ thống tự động hủy yêu cầu ngay lập tức khi quá 72 giờ mà chưa xác thực
Mục đích chính của quá trình ETL trong quản lý dữ liệu là gì?,Lưu trữ dữ liệu ở dạng thô trong máy tính cá nhân,Chuẩn bị và hợp nhất dữ liệu từ nhiều nguồn để phục vụ phân tích và ứng dụng,Tự động gửi email báo cáo cho khách hàng định kỳ,Tăng tốc độ xử lý đồ họa trên nền tảng phần mềm
"Nếu hệ thống sử dụng khóa 64 bit, không gian khóa là 2⁶⁴. Giả sử một kẻ tấn công có thể thử 1 tỉ khóa/giây, thời gian cần để thử hết toàn bộ không gian khóa gần bằng bao nhiêu?

",Khoảng 500 năm,Khoảng 584 năm , Khoảng 1000 năm,Khoảng 64 năm
Các phiên bản Ubuntu LTS và các phiên bản hiện đang được hỗ trợ.,"Ubuntu LTS, Ubuntu Server, Ubuntu MATE, Ubuntu Kylin, ","Ubuntu LTS, Ubuntu Server, Ubuntu MATE"," Ubuntu Server, Ubuntu MATE, Ubuntu Kylin, ","Ubuntu LTS, Ubuntu Server"
"Hãy xác định hai cách thêm người dùng vào Tableau, và thao tác đầu tiên trong mỗi cách.",Add Users by Username; thao tác đầu tiên là chọn phương thức xác thực ,"
Import Users from file; thao tác đầu tiên là chọn file phù hợp ",Add Users by Username; thao tác đầu tiên là nhập mật khẩu, Import Users from file; thao tác đầu tiên là nhập email
Bước nào nêu rõ các tiêu chí và quy trình để lựa chọn công cụ kiểm thử phù hợp?,Xác định phạm vi,Lập kế hoạch,Lựa chọn công cụ,Viết kịch bản
"Theo tài liệu Public_152, trong bảy vùng của hạ tầng CNTT, vùng nào được đề cập là có nhiều mối đe dọa và nguy cơ nhất?",Vùng LAN,",  Vùng WAN
",Vùng người dùng,Vùng máy trạm khả thi
Quá trình thực hiện một giao dịch dựa trên SET gồm mấy bước,5,6,7,8
"Transactional outbox pattern lưu message ở đâu, và thành phần nào chịu trách nhiệm đọc & publish message đó?",Lưu ở cache memory; consumer chịu trách nhiệm publish,Lưu ở outbox_table; relay publisher chịu trách nhiệm publish,Lưu ở broker topic; service chính publish trực tiếp,Lưu ở file log; background worker publish
"Nếu một công ty vừa và nhỏ chọn Jira để quản lý dự án Agile, trong khi đội ngũ nhân viên còn hạn chế về tiếng Anh và ngân sách, họ sẽ đối mặt với những khó khăn nào nhất","Khó khăn trong việc hiểu các thuật ngữ chuyên ngành, và chi phí sử dụng Jira sẽ trở thành gánh nặng khi mở rộng",Không thể tạo báo cáo thống kê số lượng issue theo thời gian,Không thể phân quyền chi tiết cho từng nhiệm vụ,Không chạy được trên hệ điều hành Windows
"Theo văn bản, Git khác biệt so với VCS cục bộ như SVN ở điểm nào, và Git hỗ trợ thao tác nào giúp phát triển song song mà vẫn an toàn?","Khác biệt: Git phân tán, SVN cục bộ; Thao tác: tạo và quản lý Branch","Khác biệt: Git không cần mạng, SVN cần mạng; Thao tác: Commit","Khác biệt: Git luôn ổn định, SVN thường lỗi; Thao tác: Merge","Khác biệt: Git chỉ dùng online, SVN dùng offline; Thao tác: Fetch"
"Theo tài liệu, tài sản an toàn thông tin bao gồm những loại nào?"," Phần cứng, phần mềm, thông tin","
Phần cứng, con người, dữ liệu xã hội"," Phần mềm, quy trình, ngân sách"," Thông tin, hợp đồng, quy định pháp luật"
Các thuật ngữ thường dùng của MongoDB,"_ID, Document, Collection và Database",Collection và Database,_ID và Document,Chưa có thuật ngữ rõ ràng
"Theo tài liệu, để thêm nhãn dữ liệu trong Tableau, bước đầu tiên cần thực hiện là gì?", Chọn New Label trực tiếp trên sheet, Click chọn Data Labels > New Label , Vào mục Settings > Labels,Chọn Groups > Add Label
Điện trở màng than có ưu điểm gì về độ ổn định và nhược điểm gì khi làm việc ở nhiệt độ cao?,Ổn định cao ; Dễ thay đổi trị số khi nhiệt độ thay đổi,Kích thước nhỏ ; Không chịu được xung điện áp,Giá thành rẻ ; Độ bền cơ học thấp,Điện cảm nhỏ ; Dễ hư hỏng khi ẩm ướt
Nội dung chính của văn bản Public_263 là gì?,"Mô tả và phân tích yêu cầu cho hệ thống web quản lí đăng kí học tín chỉ của trường đại học: xây dựng từ khóa miền, mô tả chức năng theo vai trò, quy tắc nghiệp vụ, đối tượng dữ liệu và quan hệ giữa chúng.","Hướng dẫn triển khai hạ tầng bảo mật (Firewall, IDS/IPS, VPN) cho hệ thống đăng kí tín chỉ.","Quy định học phí, miễn giảm và quy trình thu – nộp theo học kì.",Tài liệu hướng dẫn sử dụng giao diện cho sinh viên và giảng viên.
"Theo tài liệu, số vòng lặp xử lý trong giải thuật AES khi sử dụng khóa 192 bit là bao nhiêu?
",10 vòng,12 vòng ,"
14 vòng", 16 vòng 
"Hãy xác định (i) công thức mối quan hệ giữa tấn công, mối đe dọa và lỗ hổng, và (ii) ví dụ một dạng tấn công theo mục đích.",A. Tấn công = Lỗ hổng – Mối đe dọa; Ví dụ: nghe trộm,Tấn công = Mối đe dọa + Lỗ hổng; Ví dụ: tấn công sửa đổi (Modifications) ,"
Tấn công = Mối đe dọa × Lỗ hổng; Ví dụ: giả mạo (Fabrications)",Tấn công = Mối đe dọa / Lỗ hổng; Ví dụ: gián điệp công nghiệp 
"Trong giải thuật RSA, độ an toàn được dựa trên tính khó của bài toán nào?



", Phân tích số nguyên lớn,Rút gọn đa thức, Rời rạc modulo nhỏ,Giải hệ tuyến tính
"Từ các phương pháp mã hóa (thay thế, hoán vị, XOR, Vernam, khóa chạy, hàm băm), hãy rút ra nhận định tổng quan về các nguyên lý mã hóa cơ bản hoặc các điểm khác biệt chính giữa chúng.","Mỗi phương pháp đều có ưu điểm riêng, nhưng độ an toàn chỉ cao khi kết hợp kỹ thuật và lựa chọn khóa thích hợp ","Các phương pháp đều tuyệt đối an toàn, không thể phá mã","
Phương pháp nào cũng chỉ dựa trên dịch chuyển ký tự nên dễ đoán bản rõ", Chỉ cần áp dụng hàm băm là đủ để mã hóa dữ liệu
"Hãy xác định (i) năm DSA được NIST công nhận là chuẩn chữ ký số, và (ii) tên của một thành phần trong PKI có nhiệm vụ xác minh thông tin nhận dạng của người dùng.
",Năm 1991; Registration Authority (RA) ,"
Năm 1977; Certificate Policy", Năm 1991; Validation Authority (VA),Năm 2001; Central Directory
Public_179 mô tả những nhiệm vụ nào trong thiết kế và phát triển kịch bản kiểm thử tự động?,Các thành viên của nhóm sẽ bắt tay vào thiết kế các kịch bản tự thủ công và sau đó dùng công cụ được chọn để tạo ra các script tự động hóa,Thông tin lộ trình thực hiện (Master Schedule); Effort và thời gian cho việc thiết kế Framework; Effort và thời gian cho việc viết kịch bản; Effort cho việc thực thi và báo cáo; Effort cho bảo trì sau phát triển; Các rủi ro phát sinh,Các thành viên của nhóm sẽ bắt tay vào lập trình. Các công việc điển hình như: Thiết kế Framework và các tính năng của nó; Thiết kế các kịch bản tự động; Viết script và kiểm tra tính ổn định của script; Review tính đúng đắn của script so với thiết kế,Các thành viên của nhóm sẽ bắt tay vào thiết kế các kịch bản tự động và dùng công cụ được chọn để tạo ra các script tự động hóa. Các công việc điển hình như: Thiết kế Framework và các tính năng của nó; Thiết kế các kịch bản tự động; Viết script và kiểm tra tính ổn định của script; Review tính đúng đắn của script so với thiết kế
"Hãy xác định (i) phần mềm độc hại nào thường giả danh chương trình có ích để lừa người dùng, và (ii) ví dụ một hình thức lây nhiễm đặc trưng của nó.


",Trojan horse; thay đổi quyền truy nhập file và thư mục , Logic bomb; phát nổ khi đạt số lần đăng nhập,Rootkit; tự động nhân bản sang chương trình khác,"
Adware; hiển thị quảng cáo khi mở email"
Mục tiêu của tấn công DoS là gì?,Ngăn người dùng hợp pháp truy cập,Đánh cắp dữ liệu,Tăng tốc độ hệ thống, Tạo bản sao lưu
"Theo tài liệu Public_174, ETL (Extract, Transform, Load) được hiểu là gì?",Quá trình quản lý hệ điều hành và cập nhật phần mềm tự động,"Quá trình tập hợp dữ liệu từ nhiều nguồn, chuyển đổi theo nguyên tắc kinh doanh và tải vào hệ thống lưu trữ trung tâm để phân tích",Quá trình tối ưu hóa mã nguồn để tăng tốc ứng dụng,Quá trình nén dữ liệu để tiết kiệm dung lượng lưu trữ
Tổng quan về các tính năng và nguyên lý hoạt động của Ubuntu,"Ubuntu là một hệ điều hành máy tính mã nguồn đóng dựa trên nền tảng Linux. Được phát triển và duy trì bởi Canonical Ltd. và cộng đồng người dùng toàn cầu, Ubuntu được thiết kế để cung cấp một trải nghiệm máy tính dễ sử dụng, ổn định và an toàn cho mọi người, từ người dùng cá nhân đến doanh nghiệp và tổ chức.","Ubuntu là một hệ điều hành máy tính mã nguồn mở dựa trên nền tảng Linux. Được phát triển và duy trì bởi Canonical Ltd. và cộng đồng người dùng toàn cầu, Ubuntu được thiết kế để cung cấp một trải nghiệm máy tính dễ sử dụng, ổn định và an toàn cho mọi người, từ người dùng cá nhân đến doanh nghiệp và tổ chức.",Ubuntu là một hệ điều hành máy tính mã nguồn mở dựa trên nền tảng Windows,Ubuntu là một phần mềm bảo mật thông tin và diệt virus
Khóa bí mật trong tài liệu Public_283 được hiểu là gì?,Thành phần dùng để xác thực chữ ký số,"Thành phần của cặp khóa không đối xứng, dùng để ký thông điệp dữ liệu",Chuỗi mã hóa được sinh ngẫu nhiên khi tạo chứng thư số.,Công cụ để kiểm tra tính toàn vẹn của dữ liệu.
"Theo tài liệu, giao thức SSL/TLS được xây dựng dựa trên phiên bản nào của SSL?",SSL 2.0,SSL 3.0 ,TLS 1.1,TLS 1.3
"Dựa vào quy định về tín chỉ được nêu trong tài liệu Public_263, nếu sinh viên đang chọn tổng 9 tín chỉ, cần thêm tối thiểu bao nhiêu tín chỉ để nút Lưu được bật?",30,24,18,36
Zoiper được biết đến là loại phần mềm gì?,Phần mềm quản lý tài chính cá nhân,Phần mềm soạn thảo văn bản trực tuyến,Phần mềm softphone miễn phí hỗ trợ gọi điện qua Internet,Phần mềm chỉnh sửa âm thanh chuyên nghiệp
"Theo tài liệu, Estuary Flow sử dụng tính năng nào của MySQL để sao chép dữ liệu hiệu quả về chi phí?",WAL (Write Ahead Log),Binlog,CDC (Change Data Capture),Replication Slot
Số lượng mô hình phòng thủ phổ biến trong an toàn mạng được đề cập trong tài liệu Public_253 là bao nhiêu?,1,2,3,4
"Trong hệ sinh thái Tableau, thành phần nào cho phép người dùng chuẩn bị và làm sạch dữ liệu trước khi phân tích?
",Tableau Server,Tableau Prep,"
Tableau Publi",Tableau Reader
"Theo tài liệu Public_160, DSA có ưu điểm nổi bật nào so với RSA?",Quá trình kiểm tra nhanh hơn,Quá trình ký và sinh khóa nhanh hơn ,Có thể dùng cho cả mã hóa và chữ ký,Độ an toàn cao hơn tuyệt đối so với RSA
"Nếu Spike Testing thất bại liên tục, điều gì xảy ra khi một số lượng lớn người dùng truy cập cùng một lúc vào một hệ thống thương mại điện tử?",Khách hàng sử dụng thao tác mua bị chậm hơn,"Sập hệ thống, mất khách hàng và doanh thu",Khách hàng vẫn truy cập bình thường,Chi phí bảo trì giảm
"Theo nội dung văn bản, thành phần nào trong Flutter chịu trách nhiệm cung cấp công cụ (ví dụ: trình biên dịch) để biên dịch mã nguồn thành mã gốc (native code) cho từng hệ điều hành, giúp ứng dụng hoạt động mượt mà trên mỗi nền tảng?",Framework (thư viện giao diện dựa trên widgets),SDK (bộ kit phát triển phần mềm),Ngôn ngữ Dart,Các widget tích hợp sẵn
"Qua các nội dung trong tài liệu, có thể rút ra nhận định tổng quan nào về lợi ích khi sử dụng Tableau trong doanh nghiệp?
",Tableau chủ yếu để lưu trữ dữ liệu an toàn,"Tableau giúp trực quan hóa dữ liệu, hỗ trợ phân tích nhanh, nâng cao khả năng ra quyết định và cải thiện giao tiếp trong tổ chức ",Tableau loại bỏ hoàn toàn nhu cầu về kỹ năng phân tích dữ liệu,"
Tableau chỉ mang lại lợi ích cho các chuyên gia CNTT"
"Theo tài liệu, pgloader cho phép thực hiện những tác vụ nào, và pg-chameleon được dùng trong trường hợp nào?","Pgloader: ánh xạ kiểu dữ liệu, chọn bảng, quản lý schema; Pg-chameleon: dùng để đồng bộ hóa dữ liệu MySQL sang PostgreSQL gần real-time",Pgloader: tích hợp trực tiếp với Estuary Flow; Pg-chameleon: thay thế hoàn toàn PostgreSQL,Pgloader: backup dữ liệu MySQL; Pg-chameleon: chỉ xuất báo cáo CSV,Pgloader: quản lý người dùng PostgreSQL; Pg-chameleon: dùng để chạy query trên MySQL
"Trong lịch sử phát triển mật mã, năm 1977 đánh dấu sự ra đời của giải thuật nào?",DES,AES,RSA , PGP
Mục đích chính của hệ thống thông tin quản lý và phân bổ giảng đường là gì?,Giúp sinh viên tra cứu điểm học phần,"Quản lý lịch học, phân bổ giảng đường và trang thiết bị hiệu quả",Hỗ trợ xây dựng cổng thông tin tuyển sinh trực tuyến,Tự động cấp phát tài khoản cho giảng viên và sinh viên
Cung cấp tổng quan về Oracle Database dựa trên nội dung trong tài liệu Public_190.,"Oracle Database là một trong những hệ thống quản lý cơ sở dữ liệu quan hệ (RDBMS – Relational Database Management System) hàng đầu trên thị trường. Theo xếp hạng của DB-Engines, Oracle Database đứng đầu trong số 380 hệ thống cơ sở dữ liệu phổ biến nhất, ngay sau đó là MySQL và Microsoft SQL Server. 
Oracle Database là sản phẩm độc quyền của Oracle – nhà cung cấp các sản phẩm và dịch vụ công nghệ đa dạng hàng đầu thế giới",Oracle Database là  hệ thống quản lý cơ sở dữ liệu quan hệ (RDBMS – Relational Database Management System) duy nhất trên thế giới hiện nay,"Oracle Database là một trong những hệ thống quản lý cơ sở dữ liệu quan hệ (RDBMS – Relational Database Management System) hàng đầu trên thị trường. Theo xếp hạng của DB-Engines, Oracle Database đứng đầu trong số 380 hệ thống cơ sở dữ liệu phổ biến nhất, ngay sau đó là MySQL và Microsoft SQL Server. 
Oracle Database là sản phẩm độc quyền của Microsoft","Oracle Database là một trong những hệ thống quản lý cơ sở dữ liệu quan hệ (RDBMS – Relational Database Management System) ít được sử dụng và không phổ biến trên thế giới. Theo xếp hạng của DB-Engines, Oracle Database đứng cuối cùng trong số 380 hệ thống cơ sở dữ liệu phổ biến nhất. 
Oracle Database là sản phẩm độc quyền của Oracle – nhà cung cấp các sản phẩm và dịch vụ công nghệ đa dạng hàng đầu thế giới"
Tóm tắt các nội dung chính của văn bản này,"Văn bản tập trung vào một loại kiểm thử hiệu năng là Stress Test
",Văn bản mô tả kiểm thử hiệu năng đo thời gian phản hồi,"Văn bản cho rằng kiểm thử hiệu năng chỉ cần thiết trong giai đoạn phát triển, không ảnh hưởng đến khi hệ thống vận hành thực tế.","Văn bản giải thích mục đích kiểm thử hiệu năng, các loại (Load, Stress, Soak, Spike), chỉ số đánh giá (thời gian phản hồi, thông lượng, độ ổn định, khả năng mở rộng) và vai trò trong việc đảm bảo hệ thống hoạt động ổn định khi triển khai. "
"Những công cụ AI nào đã thực sự được phát triển trong giáo dục từ những năm 2000 đến nay, và chúng có vai trò gì?","PLATO – hệ thống học tập phát triển từ thập niên 1960, không thuộc sau năm 2000",AutoTutor – công cụ đối thoại hỗ trợ học tập được phát triển sau năm 2000,"Cognitive Tutor – ra đời từ thập niên 1990, trước mốc 2000",Khan Academy – nền tảng học trực tuyến không phải công cụ AI thuần túy
Jira được phát triển bởi công ty nào?,Microsoft,Atlassian,Oracle,IBM
Ba thuộc tính cốt lõi cần bảo vệ trong an toàn thông tin là gì?,"Bảo mật, Toàn vẹn, Sẵn dùng","Tính đúng giờ, Tính mở rộng, Tính khả thi","Tính ổn định, Tính đơn giản, Tính lâu dài","Bảo mật, Chia sẻ, Khả năng mở rộng"
Hãy cho biết các thành phần chính của an toàn thông tin và nêu vai trò của chính sách an toàn thông tin đối với các thành phần đó.,"Thành phần: an toàn máy tính & dữ liệu, an ninh mạng, quản lý an toàn thông tin; vai trò chính sách: phần chung/khung chi phối, giao thoa và định hướng thực thi cho cả ba thành phần. ","Thành phần: an toàn máy tính & dữ liệu, an ninh mạng, quản lý an toàn thông tin; vai trò chính sách: là tài liệu tham khảo, không ảnh hưởng đến hai thành phần còn lại.","Thành phần: tường lửa, proxy, VPN; vai trò chính sách: áp dụng ở lớp logic, không liên quan mức vật lý và tổ chức.","Thành phần: an toàn máy tính & dữ liệu, an ninh mạng, chính sách an toàn thông tin; vai trò chính sách: được xem là một thành phần độc lập thay cho quản lý an toàn thông tin."
"Hãy xác định phiên bản Tableau miễn phí và đặc điểm nổi bật của phiên bản này.
", Tableau Viewer; cho phép chỉnh sửa dữ liệu, Tableau Reader; cho phép tạo dashboard mới,Tableau Public; cho phép chia sẻ trực quan hóa lên đám mây công khai,"

Tableau Desktop Personal; giới hạn chức năng kết nối dữ liệu "
"Theo tài liệu Public_162, điểm khác biệt quan trọng giữa IDS và IPS là gì?","IDS chủ động ngăn chặn, IPS chỉ giám sát","IDS chỉ phát hiện, IPS có khả năng ngăn chặn ","IDS và IPS đều chỉ giám sát, không có chức năng ngăn chặn", IDS và IPS đều không yêu cầu chữ ký tấn công
GraphQL được coi là một ngôn ngữ gì trong lĩnh vực phát triển API?,Ngôn ngữ lập trình hướng đối tượng để phát triển ứng dụng desktop,Ngôn ngữ đánh dấu (markup) dùng để thiết kế giao diện web,Ngôn ngữ truy vấn và thao tác dữ liệu mã nguồn mở cho API,Ngôn ngữ kịch bản (scripting) dùng để viết macro trong phần mềm văn phòng
"Theo tài liệu Public_197, những yêu cầu cụ thể nào về cơ sở vật chất được xem là thách thức lớn nhất khi ứng dụng AI?",120 thiết bị,100 thiết bị,90 thiết bị,150 thiết bị
"Giả sử một start-up có nguồn lực hạn chế nhưng cần ra mắt nhanh một MVP đa nền tảng với mức độ tùy biến giao diện tương đối cao. Dựa trên văn bản, hai yếu tố nào là NHẤT QUYẾT ĐỊNH cho quyết định chọn (hoặc không chọn) Flutter trong trường hợp này? (Chọn 2.)","Lợi thế: single code-base giảm thời gian và chi phí phát triển, phù hợp với start-up.","Rủi ro: hạn chế trong kết nối với thư viện bên thứ ba, làm giảm khả năng tùy chỉnh phức tạp.",Rủi ro: Flutter không hỗ trợ web và desktop nên không triển khai đa nền tảng được.,"Lợi thế: kích thước tệp nhỏ, giúp tối ưu trải nghiệm khởi động cho người dùng."
Tổng quan Devops dành cho người mới bắt đầu là gì?,"DevOps là vừa tham gia phân tích nghiệp vụ, vừa lập trình ",DevOps là một sự kết hợp của an toàn thông tin và vận hành sản phẩm phần mềm,"DevOps là một sự kết hợp của các nguyên lý, thực hành, quy trình và các tool giúp tự động hóa quá trình lập trình và chuyển giao phần mềm. Với DevOps, các công ty có thể “release” các tính năng nhỏ rất nhanh và kết hợp các phản hồi mà họ nhận được một cách nhanh chóng. DevOps là kết hợp của các cụm từ tiếng Anh software development và information technology operations.","DevOps là một vị trí mới, chưa xác định được vai trò rõ ràng"
Mục đích chính của việc xây dựng Cổng kết nối dịch vụ chứng thực chữ ký số công cộng là gì?,Để thay thế toàn bộ hệ thống email của cơ quan nhà nước.,"Để kết nối dịch vụ chứng thực chữ ký số công cộng với các hệ thống thông tin, đảm bảo tính xác thực, toàn vẹn và chống chối bỏ của thông điệp dữ liệu.",Để quản lý hồ sơ nhân sự điện tử.,Để đồng bộ dữ liệu giữa các cơ quan thuế và hải quan.
Giao diện của phần mềm softphone Zoiper được thiết kế như thế nào để người dùng cảm thấy quen thuộc khi sử dụng?,"Chỉ có màn hình nền đen với các dòng lệnh dạng text, khó thao tác","Tương tự điện thoại thông thường, có bàn phím số, danh bạ, nhật ký cuộc gọi và cho phép thêm, chỉnh sửa hoặc xóa liên lạc","Giao diện tối giản chỉ có một nút gọi và một nút kết thúc, không có tính năng khá","Hoàn toàn dựa vào cửa sổ cấu hình kỹ thuật, yêu cầu người dùng am hiểu hệ thống mạng"
"Theo tài liệu, chuỗi giá trị băm đầu ra của MD5 có kích thước bao nhiêu bit?


",128 bit ,160 bit,"
256 bit", 512 bit
"Theo tài liệu, điểm khác biệt chính giữa tường lửa có trạng thái (Stateful) và không trạng thái (Stateless) là gì?"," Stateful có khả năng lưu trạng thái các kết nối mạng, còn Stateless thì không ",Stateless an toàn hơn Stateful,"Stateless lưu được trạng thái người dùng, còn Stateful không","Stateful chỉ lọc ở lớp ứng dụng, còn Stateless lọc ở lớp mạng"
"Theo tài liệu Public_196, các quốc gia nên áp dụng những chiến lược nào để đảm bảo nguồn nước bền vững trong tương lai khi các giải pháp hiện tại không đủ để giải quyết tình trạng khan hiếm nước?",Tăng cường hợp tác quốc tế trong quản lý tài nguyên nước,Giảm đầu tư vào công nghệ mới,Tăng cường sử dụng nước ngầm,Tăng cường sử dụng nước cho mục đích công nghiệp
"Jira cung cấp loại báo cáo nào, và hạn chế gì khi áp dụng cho dự án ngắn hạn (dưới 3 tháng)?",Báo cáo dạng bảng duy nhất; hạn chế là không có biểu đồ,"Báo cáo với thống kê số lượng issue theo nhiều tiêu chí; hạn chế là tốn nhiều thời gian setup, không hiệu quả với dự án ngắn hạn",Báo cáo chỉ có 3 mẫu mặc định; hạn chế là không hỗ trợ Agile,Báo cáo không thể hiển thị theo thời gian; hạn chế là không phân quyền chi tiết
"Theo số liệu năm 2012 từ Cơ sở dữ liệu lỗ hổng quốc gia Hoa Kỳ, lỗ hổng bảo mật được phát hiện nhiều nhất nằm ở thành phần nào của hệ thống?
",Phần cứng,"
Hệ điều hành",Phần mềm ứng dụng ,Cơ sở dữ liệu
"Trong tài liệu Public_282, cơ sở dữ liệu nào được hệ thống sử dụng để lưu trữ dữ liệu?",MySQL,MongoDB,PostgreSQL,Oracle
